DDate,AmcName,YardName,CommName,Arrivals,Minimum,Maximum,Model
2025-03-01 00:00:00+05:30,Gaddiannaram,Gaddiannaram,Mango,339.0,3300.0,19400.0,4400.0
2025-03-01 00:00:00+05:30,Gaddiannaram,L.B Nagar,Cabbage,104.0,500.0,1000.0,700.0
2025-03-01 00:00:00+05:30,Bowenpally,Bowenpally,Onions,659.0,800.0,3200.0,2200.0
2025-03-01 00:00:00+05:30,Hyderabad,Madannapeta,Cabbage,30.0,900.0,900.0,900.0
2025-03-01 00:00:00+05:30,Hyderabad,Mahabubmansion,Chillies(Dry),304.0,10000.0,13500.0,11000.0
2025-03-01 00:00:00+05:30,Hyderabad,Meeralamandi,Cabbage,5.0,1000.0,1000.0,1000.0
2025-03-01 00:00:00+05:30,Thirumalagiri,Tirmalagiri,Paddy,53.0,1769.0,1969.0,1869.0
2025-03-01 00:00:00+05:30,Narsingi,Babbuguda,Cattle(All),60.0,5000.0,20000.0,15000.0
2025-03-01 00:00:00+05:30,Suryapet,Suryapet,Paddy,35.0,2219.0,2313.0,2313.0
2025-03-01 00:00:00+05:30,Gudimalkapur,Gudumalkapur,Onions,1538.0,800.0,3000.0,2000.0
2025-03-02 00:00:00+05:30,Gaddiannaram,L.B Nagar,Cabbage,90.0,500.0,1000.0,700.0
2025-03-02 00:00:00+05:30,Bowenpally,Bowenpally,Onions,781.0,1500.0,3200.0,2500.0
2025-03-02 00:00:00+05:30,Hyderabad,Madannapeta,Cabbage,30.0,600.0,1200.0,800.0
2025-03-02 00:00:00+05:30,Gaddiannaram,Gaddiannaram,Mango,64.0,2750.0,16650.0,4400.0
2025-03-02 00:00:00+05:30,Hyderabad,Meeralamandi,Cabbage,7.0,1000.0,1000.0,1000.0
2025-03-02 00:00:00+05:30,Narsingi,Babbuguda,Cattle(All),148.0,20000.0,50000.0,15000.0
2025-03-02 00:00:00+05:30,Gudimalkapur,Gudumalkapur,Onions,2060.0,500.0,3000.0,2000.0
2025-03-03 00:00:00+05:30,Gaddiannaram,Gaddiannaram,Mango,926.0,2750.0,17750.0,4400.0
2025-03-03 00:00:00+05:30,Bowenpally,Bowenpally,Onions,589.0,800.0,3000.0,2200.0
2025-03-03 00:00:00+05:30,Gaddiannaram,L.B Nagar,Cabbage,90.0,500.0,1000.0,700.0
2025-03-03 00:00:00+05:30,Hyderabad,Mahabubmansion,Chillies(Dry),760.0,10000.0,13800.0,11000.0
2025-03-03 00:00:00+05:30,Hyderabad,Madannapeta,Cabbage,28.0,600.0,1200.0,1000.0
2025-03-03 00:00:00+05:30,Hyderabad,Meeralamandi,Cabbage,7.0,1000.0,1000.0,1000.0
2025-03-03 00:00:00+05:30,Thirumalagiri,Tirmalagiri,Paddy,76.0,1869.0,2219.0,2219.0
2025-03-03 00:00:00+05:30,Suryapet,Suryapet,Paddy,72.0,1649.0,2323.0,2308.0
2025-03-03 00:00:00+05:30,Gudimalkapur,Gudumalkapur,Onions,537.0,1000.0,3200.0,2000.0
2025-03-04 00:00:00+05:30,Gaddiannaram,Gaddiannaram,Mango,591.0,2750.0,16650.0,4400.0
2025-03-04 00:00:00+05:30,Gaddiannaram,L.B Nagar,Cabbage,118.0,500.0,1000.0,700.0
2025-03-04 00:00:00+05:30,Bowenpally,Bowenpally,Onions,1580.0,800.0,3000.0,2200.0
2025-03-04 00:00:00+05:30,Hyderabad,Mahabubmansion,Chillies(Dry),440.0,10000.0,13600.0,11000.0
2025-03-04 00:00:00+05:30,Hyderabad,Madannapeta,Cabbage,35.0,600.0,1200.0,800.0
2025-03-04 00:00:00+05:30,Hyderabad,Meeralamandi,Cabbage,6.0,800.0,1000.0,900.0
2025-03-04 00:00:00+05:30,Suryapet,Suryapet,Paddy,75.0,1736.0,2373.0,1736.0
2025-03-04 00:00:00+05:30,Gudimalkapur,Gudumalkapur,Onions,2473.0,600.0,3200.0,2000.0
2025-03-04 00:00:00+05:30,Kollapur,Kollapur,Paddy,100.0,3000.0,3000.0,3000.0
2025-03-05 00:00:00+05:30,Gaddiannaram,Gaddiannaram,Mango,341.0,2750.0,18850.0,4400.0
2025-03-05 00:00:00+05:30,Gaddiannaram,L.B Nagar,Cabbage,115.0,500.0,1000.0,700.0
2025-03-05 00:00:00+05:30,Bowenpally,Bowenpally,Onions,631.0,800.0,3000.0,2400.0
2025-03-05 00:00:00+05:30,Hyderabad,Mahabubmansion,Chillies(Dry),640.0,10000.0,14000.0,11000.0
2025-03-05 00:00:00+05:30,Hyderabad,Madannapeta,Cabbage,30.0,600.0,1200.0,800.0
2025-03-05 00:00:00+05:30,Hyderabad,Meeralamandi,Cabbage,5.0,1000.0,1000.0,1000.0
2025-03-05 00:00:00+05:30,Suryapet,Suryapet,Paddy,33.0,1869.0,2263.0,2263.0
2025-03-05 00:00:00+05:30,Gudimalkapur,Gudumalkapur,Onions,1743.0,500.0,3200.0,2000.0
2025-03-05 00:00:00+05:30,Kollapur,Kollapur,Paddy,100.0,2320.0,2320.0,2320.0
2025-03-06 00:00:00+05:30,Gaddiannaram,Gaddiannaram,Mango,526.0,2750.0,19400.0,4400.0
2025-03-06 00:00:00+05:30,Bowenpally,Bowenpally,Onions,1285.0,1000.0,3000.0,2200.0
2025-03-06 00:00:00+05:30,Gaddiannaram,L.B Nagar,Cabbage,103.0,500.0,1000.0,700.0
2025-03-06 00:00:00+05:30,Hyderabad,Mahabubmansion,Chillies(Dry),400.0,10000.0,13600.0,11000.0
2025-03-06 00:00:00+05:30,Hyderabad,Madannapeta,Cabbage,30.0,600.0,1200.0,800.0
2025-03-06 00:00:00+05:30,Hyderabad,Meeralamandi,Cabbage,7.0,1000.0,1200.0,1100.0
2025-03-06 00:00:00+05:30,Thirumalagiri,Tirmalagiri,Paddy,10.0,1804.0,1804.0,1804.0
2025-03-06 00:00:00+05:30,Suryapet,Suryapet,Paddy,80.0,2223.0,2302.0,2223.0
2025-03-06 00:00:00+05:30,Gudimalkapur,Gudumalkapur,Onions,2385.0,500.0,3000.0,1800.0
2025-03-06 00:00:00+05:30,Kollapur,Kollapur,Paddy,125.0,2320.0,2320.0,2320.0
2025-03-07 00:00:00+05:30,Gaddiannaram,Gaddiannaram,Mango,785.0,3050.0,22200.0,8300.0
2025-03-07 00:00:00+05:30,Gaddiannaram,L.B Nagar,Cabbage,78.0,500.0,1000.0,700.0
2025-03-07 00:00:00+05:30,Bowenpally,Bowenpally,Onions,810.0,800.0,3000.0,2400.0
2025-03-07 00:00:00+05:30,Hyderabad,Madannapeta,Cabbage,20.0,600.0,1200.0,900.0
2025-03-07 00:00:00+05:30,Hyderabad,Mahabubmansion,Chillies(Dry),811.0,1000.0,13600.0,11000.0
2025-03-07 00:00:00+05:30,Hyderabad,Meeralamandi,Cabbage,4.0,1000.0,1200.0,1100.0
2025-03-07 00:00:00+05:30,Thirumalagiri,Tirmalagiri,Paddy,6.0,1909.0,1909.0,1909.0
2025-03-07 00:00:00+05:30,Gudimalkapur,Gudumalkapur,Onions,1451.0,500.0,3200.0,2000.0
2025-03-08 00:00:00+05:30,Gaddiannaram,Gaddiannaram,Mango,541.0,2750.0,18850.0,4400.0
2025-03-08 00:00:00+05:30,Gaddiannaram,L.B Nagar,Cabbage,91.0,500.0,1000.0,700.0
2025-03-08 00:00:00+05:30,Bowenpally,Bowenpally,Onions,525.0,1000.0,3000.0,2200.0
2025-03-08 00:00:00+05:30,Hyderabad,Mahabubmansion,Chillies(Dry),455.0,10000.0,12900.0,11000.0
2025-03-08 00:00:00+05:30,Hyderabad,Madannapeta,Cabbage,35.0,600.0,1200.0,800.0
2025-03-08 00:00:00+05:30,Hyderabad,Meeralamandi,Cabbage,5.0,800.0,1000.0,900.0
2025-03-08 00:00:00+05:30,Thirumalagiri,Tirmalagiri,Paddy,19.0,1809.0,1809.0,1809.0
2025-03-08 00:00:00+05:30,Suryapet,Suryapet,Paddy,79.0,2053.0,2382.0,2053.0
2025-03-08 00:00:00+05:30,Gudimalkapur,Gudumalkapur,Onions,1691.0,500.0,3000.0,1800.0
2025-03-09 00:00:00+05:30,Gaddiannaram,Gaddiannaram,Mango,92.0,2500.0,10000.0,5550.0
2025-03-09 00:00:00+05:30,Gaddiannaram,L.B Nagar,Cabbage,70.0,500.0,1000.0,700.0
2025-03-09 00:00:00+05:30,Bowenpally,Bowenpally,Onions,1416.0,800.0,3000.0,2400.0
2025-03-09 00:00:00+05:30,Hyderabad,Madannapeta,Cabbage,35.0,600.0,1200.0,800.0
2025-03-09 00:00:00+05:30,Narsingi,Babbuguda,Cattle(All),278.0,20000.0,50000.0,40000.0
2025-03-09 00:00:00+05:30,Gudimalkapur,Gudumalkapur,Onions,2369.0,600.0,2800.0,1800.0
2025-03-09 00:00:00+05:30,Kollapur,Kollapur,Paddy,125.0,2300.0,2300.0,2300.0
2025-03-10 00:00:00+05:30,Gaddiannaram,Gaddiannaram,Mango,1246.0,1350.0,20550.0,3300.0
2025-03-10 00:00:00+05:30,Gaddiannaram,L.B Nagar,Cabbage,81.0,500.0,800.0,700.0
2025-03-10 00:00:00+05:30,Bowenpally,Bowenpally,Onions,641.0,800.0,3000.0,2400.0
2025-03-10 00:00:00+05:30,Hyderabad,Madannapeta,Cabbage,40.0,800.0,1200.0,1000.0
2025-03-10 00:00:00+05:30,Hyderabad,Mahabubmansion,Chillies(Dry),478.0,10000.0,13400.0,11000.0
2025-03-10 00:00:00+05:30,Hyderabad,Meeralamandi,Cabbage,7.0,800.0,1000.0,900.0
2025-03-10 00:00:00+05:30,Thirumalagiri,Tirmalagiri,Paddy,170.0,1839.0,2039.0,1989.0
2025-03-10 00:00:00+05:30,Luxettipet,Luxettipet,Paddy,400.0,2500.0,2500.0,2500.0
2025-03-10 00:00:00+05:30,Suryapet,Suryapet,Paddy,71.0,1876.0,2408.0,2226.0
2025-03-10 00:00:00+05:30,Gudimalkapur,Gudumalkapur,Onions,750.0,1000.0,2500.0,1700.0
2025-03-10 00:00:00+05:30,Kollapur,Kollapur,Paddy,125.0,2300.0,2300.0,2300.0
2025-03-11 00:00:00+05:30,Gaddiannaram,Gaddiannaram,Mango,699.0,2750.0,18850.0,3850.0
2025-03-11 00:00:00+05:30,Bowenpally,Bowenpally,Onions,319.0,800.0,2500.0,2000.0
2025-03-11 00:00:00+05:30,Gaddiannaram,L.B Nagar,Cabbage,105.0,500.0,1000.0,700.0
2025-03-11 00:00:00+05:30,Hyderabad,Madannapeta,Cabbage,55.0,600.0,1200.0,900.0
2025-03-11 00:00:00+05:30,Hyderabad,Mahabubmansion,Chillies(Dry),480.0,9000.0,13000.0,11000.0
2025-03-11 00:00:00+05:30,Hyderabad,Meeralamandi,Cabbage,5.0,1000.0,1200.0,1100.0
2025-03-11 00:00:00+05:30,Thirumalagiri,Tirmalagiri,Paddy,96.0,1860.0,1860.0,1860.0
2025-03-11 00:00:00+05:30,Suryapet,Suryapet,Paddy,277.0,1856.0,2356.0,2036.0
2025-03-11 00:00:00+05:30,Gudimalkapur,Gudumalkapur,Onions,3062.0,700.0,3000.0,1800.0
2025-03-11 00:00:00+05:30,Kollapur,Kollapur,Paddy,120.0,2300.0,2300.0,2300.0
2025-03-12 00:00:00+05:30,Gaddiannaram,Gaddiannaram,Mango,913.0,2750.0,19400.0,3850.0
2025-03-12 00:00:00+05:30,Bowenpally,Bowenpally,Onions,816.0,800.0,2000.0,1600.0
2025-03-12 00:00:00+05:30,Gaddiannaram,L.B Nagar,Cabbage,105.0,500.0,1000.0,700.0
2025-03-12 00:00:00+05:30,Hyderabad,Madannapeta,Cabbage,35.0,800.0,1200.0,1000.0
2025-03-12 00:00:00+05:30,Hyderabad,Mahabubmansion,Chillies(Dry),604.0,9000.0,13200.0,11000.0
2025-03-12 00:00:00+05:30,Hyderabad,Meeralamandi,Cabbage,4.0,1000.0,1200.0,1100.0
2025-03-12 00:00:00+05:30,Thirumalagiri,Tirmalagiri,Paddy,51.0,1849.0,1849.0,1849.0
2025-03-12 00:00:00+05:30,Suryapet,Suryapet,Paddy,68.0,2129.0,2253.0,2223.0
2025-03-12 00:00:00+05:30,Gudimalkapur,Gudumalkapur,Onions,1986.0,500.0,2000.0,1400.0
2025-03-12 00:00:00+05:30,Kollapur,Kollapur,Paddy,100.0,2300.0,2300.0,2300.0
2025-03-13 00:00:00+05:30,Gaddiannaram,Gaddiannaram,Mango,850.0,2750.0,19400.0,3850.0
2025-03-13 00:00:00+05:30,Gaddiannaram,L.B Nagar,Cabbage,80.0,500.0,1000.0,700.0
2025-03-13 00:00:00+05:30,Bowenpally,Bowenpally,Onions,1398.0,800.0,2000.0,1700.0
2025-03-13 00:00:00+05:30,Hyderabad,Madannapeta,Cabbage,25.0,600.0,1200.0,800.0
2025-03-13 00:00:00+05:30,Hyderabad,Meeralamandi,Cabbage,10.0,800.0,1200.0,1000.0
2025-03-13 00:00:00+05:30,Thirumalagiri,Tirmalagiri,Paddy,193.0,2059.0,2169.0,2139.0
2025-03-13 00:00:00+05:30,Suryapet,Suryapet,Paddy,101.0,1929.0,1956.0,1956.0
2025-03-13 00:00:00+05:30,Gudimalkapur,Gudumalkapur,Onions,2671.0,500.0,2000.0,1400.0
2025-03-13 00:00:00+05:30,Kollapur,Kollapur,Paddy,100.0,2300.0,2300.0,2300.0
2025-03-14 00:00:00+05:30,Gaddiannaram,Gaddiannaram,Mango,364.0,2750.0,20800.0,3850.0
2025-03-14 00:00:00+05:30,Gaddiannaram,L.B Nagar,Cabbage,56.0,500.0,1000.0,700.0
2025-03-14 00:00:00+05:30,Bowenpally,Bowenpally,Onions,461.0,800.0,1800.0,1500.0
2025-03-14 00:00:00+05:30,Hyderabad,Madannapeta,Cabbage,35.0,800.0,1200.0,1000.0
2025-03-14 00:00:00+05:30,Gudimalkapur,Gudumalkapur,Onions,1186.0,500.0,2100.0,1400.0
2025-03-14 00:00:00+05:30,Kollapur,Kollapur,Paddy,150.0,2500.0,2500.0,2500.0
2025-03-15 00:00:00+05:30,Gaddiannaram,Gaddiannaram,Mango,2381.0,2750.0,18850.0,4400.0
2025-03-15 00:00:00+05:30,Gaddiannaram,L.B Nagar,Cabbage,89.0,500.0,1000.0,700.0
2025-03-15 00:00:00+05:30,Bowenpally,Bowenpally,Onions,239.0,1000.0,2000.0,1800.0
2025-03-15 00:00:00+05:30,Hyderabad,Madannapeta,Cabbage,40.0,800.0,1200.0,1000.0
2025-03-15 00:00:00+05:30,Hyderabad,Meeralamandi,Cabbage,7.0,1000.0,1200.0,1100.0
2025-03-15 00:00:00+05:30,Thirumalagiri,Tirmalagiri,Paddy,237.0,1936.0,2074.0,2039.0
2025-03-15 00:00:00+05:30,Narsingi,Babbuguda,Cattle(All),46.0,15000.0,5000.0,20000.0
2025-03-15 00:00:00+05:30,Suryapet,Suryapet,Paddy,19.0,2429.0,2429.0,2429.0
2025-03-15 00:00:00+05:30,Gudimalkapur,Gudumalkapur,Onions,1028.0,500.0,2200.0,1500.0
2025-03-15 00:00:00+05:30,Kollapur,Kollapur,Paddy,150.0,2500.0,2500.0,2500.0
2025-03-16 00:00:00+05:30,Gaddiannaram,L.B Nagar,Cabbage,57.0,500.0,1000.0,700.0
2025-03-16 00:00:00+05:30,Bowenpally,Bowenpally,Onions,964.0,1000.0,2000.0,1600.0
2025-03-16 00:00:00+05:30,Hyderabad,Madannapeta,Cabbage,40.0,600.0,1200.0,900.0
2025-03-16 00:00:00+05:30,Gaddiannaram,Gaddiannaram,Mango,260.0,2200.0,21100.0,3850.0
2025-03-16 00:00:00+05:30,Hyderabad,Meeralamandi,Cabbage,4.0,1200.0,1200.0,1200.0
2025-03-16 00:00:00+05:30,Narsingi,Babbuguda,Cattle(All),103.0,5000.0,50000.0,15000.0
2025-03-16 00:00:00+05:30,Gudimalkapur,Gudumalkapur,Onions,2451.0,500.0,3200.0,1500.0
2025-03-16 00:00:00+05:30,Kollapur,Kollapur,Paddy,100.0,2500.0,2500.0,2500.0
2025-03-17 00:00:00+05:30,Gaddiannaram,Gaddiannaram,Mango,2831.0,2200.0,18300.0,6650.0
2025-03-17 00:00:00+05:30,Gaddiannaram,L.B Nagar,Cabbage,106.0,500.0,800.0,650.0
2025-03-17 00:00:00+05:30,Bowenpally,Bowenpally,Onions,538.0,1000.0,2000.0,1600.0
2025-03-17 00:00:00+05:30,Hyderabad,Mahabubmansion,Chillies(Dry),720.0,7000.0,12900.0,10000.0
2025-03-17 00:00:00+05:30,Hyderabad,Madannapeta,Cabbage,30.0,800.0,1200.0,1000.0
2025-03-17 00:00:00+05:30,Hyderabad,Meeralamandi,Cabbage,3.0,1200.0,1200.0,1200.0
2025-03-17 00:00:00+05:30,Thirumalagiri,Tirmalagiri,Paddy,276.0,1880.0,2096.0,1984.0
2025-03-17 00:00:00+05:30,Suryapet,Suryapet,Paddy,247.0,1756.0,2283.0,2109.0
2025-03-17 00:00:00+05:30,Gudimalkapur,Gudumalkapur,Onions,1059.0,800.0,2200.0,1500.0
2025-03-17 00:00:00+05:30,Kollapur,Kollapur,Paddy,100.0,2500.0,2500.0,2500.0
2025-03-18 00:00:00+05:30,Gaddiannaram,Gaddiannaram,Mango,1795.0,2750.0,15550.0,5550.0
2025-03-18 00:00:00+05:30,Gaddiannaram,L.B Nagar,Cabbage,115.0,500.0,800.0,600.0
2025-03-18 00:00:00+05:30,Bowenpally,Bowenpally,Onions,530.0,1000.0,2000.0,1700.0
2025-03-18 00:00:00+05:30,Hyderabad,Madannapeta,Cabbage,20.0,1000.0,1200.0,1100.0
2025-03-18 00:00:00+05:30,Hyderabad,Mahabubmansion,Chillies(Dry),264.0,7000.0,12500.0,10000.0
2025-03-18 00:00:00+05:30,Hyderabad,Meeralamandi,Cabbage,4.0,1000.0,1000.0,1000.0
